mutant_index,mr_id,detected_executions,total_executions,detection_rate,source_role,source_path,source_locator,source_sha256
30,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N32,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
30,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O32,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
30,MR6.1,9,10,0.9,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y32,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
30,MR6.5,8,10,0.8,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC32,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
31,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N33,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
31,MR4.2,3,10,0.3,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O33,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
31,MR6.1,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y33,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
31,MR6.5,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC33,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
32,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N34,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
32,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O34,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
32,MR6.1,7,10,0.7,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y34,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
32,MR6.5,6,10,0.6,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC34,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
33,MR4.1,5,10,0.5,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N35,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
33,MR4.2,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O35,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
33,MR6.1,10,10,1.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y35,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
33,MR6.5,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC35,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
34,MR4.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N36,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
34,MR4.2,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O36,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
34,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y36,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
34,MR6.5,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC36,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
35,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N37,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
35,MR4.2,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O37,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
35,MR6.1,4,10,0.4,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y37,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
35,MR6.5,1,10,0.1,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!AC37,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
36,MR4.1,0,10,0.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!N38,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
36,MR4.2,5,10,0.5,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!O38,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
36,MR6.1,10,10,1.0,supplied_office,实验数据origin/mYTOKEN_results.xlsx,Sheet2!Y38,83b81242a968593081c0ed949dd97b732181f2e15505af0c36bd5eb082b94a3f
